,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.240362807127633
1,0,1,0,1,5.733674341483188
2,0,1,0,2,7.020719626631767
3,0,1,0,3,5.743799670226291
4,0,1,0,4,7.025427261827535
5,0,1,0,5,2.045111233957547
6,0,2,0,0,3.894081191895383
7,0,2,0,1,6.63132016487689
8,0,2,0,2,5.391968958208758
9,0,2,0,3,4.75828233427572
10,0,2,0,4,5.218376610176169
11,0,2,0,5,1.683551629065851
12,0,3,0,0,4.782951146770539
13,0,3,0,1,5.608499564218493
14,0,3,0,2,4.146796708088965
15,0,3,0,3,1.6645017568730607
16,0,3,0,4,7.091573866584891
17,0,3,0,5,5.646745640965197
18,0,4,0,0,6.757166208463905
19,0,4,0,1,4.120912438316945
20,0,4,0,2,5.16984632085484
21,0,4,0,3,6.699661433258769
22,0,4,0,4,1.8554788194829317
23,0,4,0,5,5.69675143479538
24,0,5,0,0,1.1663304950513262
25,0,5,0,1,5.508260796472562
26,0,5,0,2,5.079791729826284
27,0,5,0,3,4.4508374942124105
28,0,5,0,4,6.549386202879617
29,0,5,0,5,4.084829007333778
30,0,6,0,0,6.753090683276232
31,0,6,0,1,6.76676506014799
32,0,6,0,2,1.6895885806447541
33,0,6,0,3,4.409295143127282
34,0,6,0,4,5.35466825689348
35,0,6,0,5,5.958332789908513
36,0,7,0,0,5.343591591034746
37,0,7,0,1,5.673013113785787
38,0,7,0,2,1.4601236246612055
39,0,7,0,3,4.577302273054085
40,0,7,0,4,6.768040773040839
41,0,7,0,5,6.877510970180488
42,1,2,0,0,0.7046493319116065
43,1,2,0,1,3.8836137047905877
44,1,2,0,2,3.833197809141195
45,1,2,0,3,5.256980754266843
46,1,2,0,4,6.634463880462257
47,1,2,0,5,4.374907372945581
48,1,3,0,0,5.425015118822761
49,1,3,0,1,6.267151530129919
50,1,3,0,2,1.3801729724910565
51,1,3,0,3,4.4417642400734385
52,1,3,0,4,4.528799610665776
53,1,3,0,5,4.528381788800427
54,1,4,0,0,3.757367796707797
55,1,4,0,1,0.7047750348279695
56,1,4,0,2,3.6495092258199757
57,1,4,0,3,6.615681426576288
58,1,4,0,4,4.443955729380525
59,1,4,0,5,6.494807891385907
60,1,5,0,0,3.820567912346476
61,1,5,0,1,6.251507464632339
62,1,5,0,2,4.292461245720795
63,1,5,0,3,5.239693625344377
64,1,5,0,4,4.37555298679816
65,1,5,0,5,1.1187608253101091
66,1,6,0,0,4.592206852055412
67,1,6,0,1,6.592642209311763
68,1,6,0,2,3.8222656045677788
69,1,6,0,3,1.3579554123049369
70,1,6,0,4,4.484357981436254
71,1,6,0,5,6.198461041586005
72,1,7,0,0,4.561452363944945
73,1,7,0,1,6.445491429152637
74,1,7,0,2,3.7861214546615947
75,1,7,0,3,1.1774493555679466
76,1,7,0,4,4.431133644751029
77,1,7,0,5,6.2629517616820065
78,2,3,0,0,5.077517674506877
79,2,3,0,1,6.3643481214513615
80,2,3,0,2,1.8080204143366763
81,2,3,0,3,4.179635862014921
82,2,3,0,4,4.936191708446862
83,2,3,0,5,5.023806823038997
84,2,4,0,0,3.8452161457953755
85,2,4,0,1,0.4476187584773848
86,2,4,0,2,3.7234178898054595
87,2,4,0,3,6.472491859583126
88,2,4,0,4,4.149441632293874
89,2,4,0,5,6.5366099570632095
90,2,5,0,0,4.012346932943749
91,2,5,0,1,6.296507750109894
92,2,5,0,2,4.890673133699574
93,2,5,0,3,5.41558483754005
94,2,5,0,4,4.780585642919086
95,2,5,0,5,1.6845892757077492
96,2,6,0,0,4.548734015519377
97,2,6,0,1,6.382015112653333
98,2,6,0,2,4.049614146420974
99,2,6,0,3,1.3727306966639943
100,2,6,0,4,4.716086508786558
101,2,6,0,5,6.709776685837055
102,2,7,0,0,4.662376577315074
103,2,7,0,1,6.39589828299739
104,2,7,0,2,4.465712107263748
105,2,7,0,3,1.4793266622966268
106,2,7,0,4,4.565606792375595
107,2,7,0,5,6.659767626201418
108,3,4,0,0,6.869972143750879
109,3,4,0,1,5.13986578526303
110,3,4,0,2,4.301360283871799
111,3,4,0,3,7.37948037584196
112,3,4,0,4,4.622427539129928
113,3,4,0,5,6.558360071664094
114,3,5,0,0,4.135894958148643
115,3,5,0,1,6.663242313797052
116,3,5,0,2,4.474661730742751
117,3,5,0,3,0.7545696860442315
118,3,5,0,4,6.678347393834654
119,3,5,0,5,5.30212783751227
120,3,6,0,0,6.639113100769573
121,3,6,0,1,7.437211282351505
122,3,6,0,2,4.645419408658559
123,3,6,0,3,5.130787598822008
124,3,6,0,4,4.43523831737771
125,3,6,0,5,6.349775525759397
126,3,7,0,0,4.083474931110296
127,3,7,0,1,6.485093367974635
128,3,7,0,2,4.534117182044282
129,3,7,0,3,5.341812578259869
130,3,7,0,4,6.579911790468386
131,3,7,0,5,6.877157107224876
132,4,5,0,0,6.591625809646913
133,4,5,0,1,4.153813938364044
134,4,5,0,2,5.095679497004439
135,4,5,0,3,6.676723017840414
136,4,5,0,4,1.9207834468382723
137,4,5,0,5,4.954001866883427
138,4,6,0,0,1.2059930560911993
139,4,6,0,1,5.123751705712368
140,4,6,0,2,6.142766985128742
141,4,6,0,3,4.488139316221982
142,4,6,0,4,4.502122709149148
143,4,6,0,5,4.2386860874775705
144,4,7,0,0,4.780565035040511
145,4,7,0,1,4.166981996734666
146,4,7,0,2,6.978375302997599
147,4,7,0,3,4.845677780124173
148,4,7,0,4,1.6549375272077556
149,4,7,0,5,5.638614224892393
150,5,6,0,0,6.800828728556865
151,5,6,0,1,7.123275714078289
152,5,6,0,2,1.656281468302259
153,5,6,0,3,4.427221164818113
154,5,6,0,4,5.626789724972425
155,5,6,0,5,5.614446466248901
156,5,7,0,0,5.271083540014928
157,5,7,0,1,5.34826709297883
158,5,7,0,2,1.1986618727137541
159,5,7,0,3,3.9990637300226695
160,5,7,0,4,6.815976691971581
161,5,7,0,5,6.713337896141891
162,6,7,0,0,3.648669598397527
163,6,7,0,1,4.209033575884861
164,6,7,0,2,6.505126478833934
165,6,7,0,3,3.712952767568771
166,6,7,0,4,0.5169632974644544
167,6,7,0,5,5.0952503047018185
