,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.7127935977368756
1,0,1,0,1,5.592502911474865
2,0,1,0,10,6.588025100037989e-30
3,0,1,0,11,2.7252222990803148
4,0,1,0,2,3.7605731794590915
5,0,1,0,3,4.869289785083549
6,0,1,0,4,4.868071330506221
7,0,1,0,5,4.869408126525525
8,0,1,0,6,3.7666758598577794
9,0,1,0,7,2.734038937837741
10,0,1,0,8,2.7275534539053745
11,0,1,0,9,4.866555220594248
12,0,2,0,0,2.712793597736876
13,0,2,0,1,5.592502911474865
14,0,2,0,10,4.6859339748310244e-30
15,0,2,0,11,2.725222299080312
16,0,2,0,2,4.86807133050622
17,0,2,0,3,4.869408126525524
18,0,2,0,4,3.7605731794590915
19,0,2,0,5,4.869289785083548
20,0,2,0,6,4.866555220594244
21,0,2,0,7,2.7275534539053714
22,0,2,0,8,3.766675859857777
23,0,2,0,9,2.73403893783774
24,0,3,0,0,2.727553453905372
25,0,3,0,1,4.866555220594244
26,0,3,0,10,3.7605731794590924
27,0,3,0,11,4.869289785083549
28,0,3,0,2,3.766675859857779
29,0,3,0,3,2.73403893783774
30,0,3,0,4,2.712793597736876
31,0,3,0,5,5.592502911474867
32,0,3,0,6,2.4214250298672987e-30
33,0,3,0,7,2.725222299080314
34,0,3,0,8,4.86807133050622
35,0,3,0,9,4.869408126525525
36,0,4,0,0,4.86807133050622
37,0,4,0,1,4.869408126525525
38,0,4,0,10,3.7666758598577794
39,0,4,0,11,2.7340389378377403
40,0,4,0,2,2.7127935977368756
41,0,4,0,3,5.592502911474862
42,0,4,0,4,3.7605731794590906
43,0,4,0,5,4.869289785083548
44,0,4,0,6,4.866555220594244
45,0,4,0,7,2.7275534539053727
46,0,4,0,8,6.0576507986865594e-30
47,0,4,0,9,2.725222299080314
48,0,5,0,0,1.7112587894042185e-30
49,0,5,0,1,2.725222299080313
50,0,5,0,10,2.7127935977368756
51,0,5,0,11,5.592502911474865
52,0,5,0,2,3.766675859857778
53,0,5,0,3,2.734038937837739
54,0,5,0,4,3.76057317945909
55,0,5,0,5,4.869289785083547
56,0,5,0,6,2.7275534539053714
57,0,5,0,7,4.866555220594243
58,0,5,0,8,4.8680713305062175
59,0,5,0,9,4.8694081265255225
60,0,6,0,0,4.8680713305062175
61,0,6,0,1,4.869408126525523
62,0,6,0,10,3.766675859857779
63,0,6,0,11,2.7340389378377408
64,0,6,0,2,4.866555220594242
65,0,6,0,3,2.7275534539053714
66,0,6,0,4,4.20777757864858e-30
67,0,6,0,5,2.7252222990803134
68,0,6,0,6,2.7127935977368764
69,0,6,0,7,5.592502911474863
70,0,6,0,8,3.7605731794590906
71,0,6,0,9,4.869289785083548
72,0,7,0,0,3.7605731794590915
73,0,7,0,1,4.869289785083549
74,0,7,0,10,2.7275534539053723
75,0,7,0,11,4.866555220594243
76,0,7,0,2,3.766675859857778
77,0,7,0,3,2.73403893783774
78,0,7,0,4,5.2991875925230616e-30
79,0,7,0,5,2.725222299080314
80,0,7,0,6,2.712793597736877
81,0,7,0,7,5.5925029114748614
82,0,7,0,8,4.868071330506218
83,0,7,0,9,4.869408126525524
84,1,2,0,0,3.6464008975915655e-30
85,1,2,0,1,2.7104571867312077
86,1,2,0,10,2.7127935977368756
87,1,2,0,11,5.617840175360952
88,1,2,0,2,2.7242228480562556
89,1,2,0,3,3.7597764592540126
90,1,2,0,4,2.734792688515317
91,1,2,0,5,4.8675977060675315
92,1,2,0,6,4.874569475529161
93,1,2,0,7,3.7593156634977043
94,1,2,0,8,4.868071330506217
95,1,2,0,9,4.869641130981442
96,1,3,0,0,3.759315663497706
97,1,3,0,1,4.874569475529164
98,1,3,0,10,2.7347926885153178
99,1,3,0,11,4.86759770606753
100,1,3,0,2,4.868071330506222
101,1,3,0,3,4.869641130981444
102,1,3,0,4,2.8511453867712278e-30
103,1,3,0,5,2.7104571867312077
